State,Date,Monthly COVID Rate
Minnesota,2020-10-01,41.7
Minnesota,2020-11-01,104.7
Minnesota,2020-12-01,75.8
Minnesota,2021-01-01,36.9
Minnesota,2021-02-01,22.5
Minnesota,2021-03-01,29.7
Minnesota,2021-04-01,51.9
Minnesota,2021-05-01,28.4
Minnesota,2021-06-01,9.8
Minnesota,2021-07-01,11.5
Minnesota,2021-08-01,33.7
Minnesota,2021-09-01,43.2
Minnesota,2021-10-01,39.5
Minnesota,2021-11-01,73.8
Minnesota,2021-12-01,81.3
Minnesota,2022-01-01,105.4
Minnesota,2022-02-01,35.3
Minnesota,2022-03-01,15.7
Minnesota,2022-04-01,18.4
Minnesota,2022-05-01,38.8
Minnesota,2022-06-01,37.4
Minnesota,2022-07-01,43.7
Minnesota,2022-08-01,46.2
Minnesota,2022-09-01,40.6
Minnesota,2022-10-01,38.0
Minnesota,2022-11-01,46.4
Minnesota,2022-12-01,50.8
Minnesota,2023-01-01,34.3
Minnesota,2023-02-01,26.6
Minnesota,2023-03-01,21.4
Minnesota,2023-04-01,13.6
Minnesota,2023-05-01,7.4
Minnesota,2023-06-01,3.6
Minnesota,2023-07-01,4.5
Minnesota,2023-08-01,10.2
Minnesota,2023-09-01,17.6
Minnesota,2023-10-01,21.1
Minnesota,2023-11-01,26.6
Minnesota,2023-12-01,38.2
New Mexico,2020-03-01,2.9
New Mexico,2020-04-01,16.9
New Mexico,2020-05-01,24.8
New Mexico,2020-06-01,15.0
New Mexico,2020-07-01,30.8
New Mexico,2020-08-01,15.6
New Mexico,2020-09-01,17.8
New Mexico,2020-10-01,62.3
New Mexico,2020-11-01,135.3
New Mexico,2020-12-01,127.1
New Mexico,2021-01-01,91.7
New Mexico,2021-02-01,34.2
New Mexico,2021-03-01,22.0
New Mexico,2021-04-01,25.4
New Mexico,2021-05-01,27.1
New Mexico,2021-06-01,14.2
New Mexico,2021-07-01,15.8
New Mexico,2021-08-01,50.0
New Mexico,2021-09-01,46.0
New Mexico,2021-10-01,60.8
New Mexico,2021-11-01,103.2
New Mexico,2021-12-01,92.4
New Mexico,2022-01-01,117.4
New Mexico,2022-02-01,56.7
New Mexico,2022-03-01,20.5
New Mexico,2022-04-01,10.5
New Mexico,2022-05-01,22.8
New Mexico,2022-06-01,52.4
New Mexico,2022-07-01,51.1
New Mexico,2022-08-01,39.2
New Mexico,2022-09-01,24.1
New Mexico,2022-10-01,33.0
New Mexico,2022-11-01,60.3
New Mexico,2022-12-01,48.2
New Mexico,2023-01-01,27.3
New Mexico,2023-02-01,23.5
New Mexico,2023-03-01,29.3
New Mexico,2023-04-01,26.9
New Mexico,2023-05-01,17.1
New Mexico,2023-06-01,7.7
New Mexico,2023-07-01,6.4
New Mexico,2023-08-01,12.9
New Mexico,2023-09-01,18.9
New Mexico,2023-10-01,32.7
New Mexico,2023-11-01,46.6
New Mexico,2023-12-01,33.7
New York,2020-03-01,13.5
New York,2020-04-01,28.2
New York,2020-05-01,24.5
New York,2020-06-01,8.4
New York,2020-07-01,7.6
New York,2020-08-01,6.6
New York,2020-09-01,6.3
New York,2020-10-01,14.4
